@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}

@data
9,5,North,4,4,1,1,2,10,94,1,1,1,1,67,1,West
8,5,West,4,3,-1,2,3,11,293,0,0,1,1,67,2,West
7,5,West,4,3,-1,3,4,12,292,0,0,1,1,67,1,West
6,5,West,4,3,-1,4,5,13,391,1,1,1,1,66,1,North
6,6,North,4,3,-1,5,6,12,490,1,1,0,0,65,1,North
6,7,North,4,3,-1,6,7,11,589,0,1,0,1,64,1,East
7,7,East,4,3,-1,5,6,10,688,0,0,1,1,63,1,East
8,7,East,4,3,-1,4,5,9,787,0,0,1,1,62,1,East
9,7,East,4,3,-1,3,4,8,886,0,1,1,1,61,1,South
9,6,South,4,3,-1,2,3,9,985,1,1,0,1,60,1,South
9,5,South,4,3,-1,1,2,10,984,1,1,1,1,60,2,East
10,5,East,4,2,-1,-1,1,9,1183,1,0,1,1,60,1,East
11,5,East,4,1,-1,-1,-1,8,1382,0,0,1,0,60,2,West
10,5,West,4,1,-1,-1,-1,9,1381,1,0,1,1,60,1,North
10,6,North,4,1,-1,-1,-1,8,1480,1,1,1,0,59,1,North
10,7,North,4,1,-1,-1,-1,7,1579,0,1,1,1,58,1,East
11,7,East,4,1,-1,-1,-1,6,1678,0,0,1,1,57,1,East
12,7,East,4,1,-1,-1,-1,5,1777,0,0,1,1,56,1,East
13,7,East,4,1,-1,-1,-1,4,1876,0,1,1,0,55,1,South
13,6,South,4,1,-1,-1,-1,5,1975,1,1,0,0,54,1,South
13,5,South,4,1,-1,-1,-1,6,2074,1,1,0,1,53,1,East
14,5,East,4,1,-1,-1,-1,5,2173,0,0,1,1,52,1,East
15,5,East,4,1,-1,-1,-1,4,2272,1,0,1,1,51,1,North
15,6,North,4,1,-1,-1,-1,3,2371,1,1,0,0,50,1,North
15,7,North,4,1,-1,-1,-1,2,2470,0,1,0,1,49,1,East
16,7,East,4,1,-1,-1,-1,1,2569,0,0,1,1,48,2,East
16,7,East,4,1,-1,-1,-1,1,2569,0,0,1,1,48,2,East
1,5,South,4,4,6,8,12,16,-1,1,1,0,0,0,-1,South
1,4,South,4,4,5,9,11,17,-2,1,1,0,1,0,-1,East
2,4,East,4,4,4,8,10,16,-3,0,1,1,1,0,-1,East
3,4,East,4,4,3,7,9,15,-4,0,1,1,1,0,-1,East
4,4,East,4,4,2,6,8,14,-5,0,1,1,1,0,-1,East
5,4,East,4,4,1,5,7,13,-6,0,1,1,1,0,-1,East
6,4,East,4,3,-1,4,6,12,193,0,1,1,1,0,-1,East
7,4,East,4,3,-1,3,5,11,192,1,1,1,1,0,-1,North
7,5,North,4,3,-1,2,6,10,191,1,1,0,0,0,-1,North
7,6,North,4,3,-1,1,7,9,190,0,1,1,1,0,-1,East
8,6,East,4,2,-1,-1,6,8,389,0,0,1,1,0,-1,East
9,6,East,4,2,-1,-1,5,7,388,0,0,1,1,0,-1,East
10,6,East,4,2,-1,-1,4,6,387,0,0,1,1,0,-1,East
11,6,East,4,2,-1,-1,3,5,386,0,0,1,1,0,-1,East
12,6,East,4,2,-1,-1,4,4,385,0,0,1,1,0,-1,East
13,6,East,4,2,-1,-1,5,3,384,0,0,1,1,0,-1,East
14,6,East,4,2,-1,-1,6,2,383,0,1,1,1,0,-1,East
15,6,East,4,2,-1,-1,7,1,382,0,0,1,1,0,-1,East
16,6,East,4,1,-1,-1,8,-1,581,0,1,1,1,0,-1,South
16,5,South,4,1,-1,-1,7,-1,580,1,1,0,0,0,-1,South
16,4,South,4,1,-1,-1,6,-1,579,1,1,1,1,0,-1,South
16,3,South,4,1,-1,-1,5,-1,578,1,0,1,1,0,-1,West
15,3,West,4,1,-1,-1,4,-1,577,1,0,1,1,0,-1,West
14,3,West,4,1,-1,-1,3,-1,576,1,0,1,1,0,-1,West
13,3,West,4,1,-1,-1,2,-1,575,1,0,1,1,0,-1,West
12,3,West,4,1,-1,-1,1,-1,574,1,0,1,1,0,-1,West
12,3,West,4,1,-1,-1,1,-1,574,1,0,1,1,0,-1,West
1,3,West,4,4,-1,-1,5,6,99,0,1,0,1,1,3,South
1,2,South,4,4,-1,-1,4,7,98,1,1,0,0,1,2,South
1,1,South,4,3,-1,-1,5,8,497,1,0,0,1,1,3,East
2,1,East,4,3,-1,-1,4,7,496,0,0,1,1,1,2,East
3,1,East,4,3,-1,-1,3,6,495,1,0,1,1,1,1,East
4,1,East,4,3,-1,-1,2,5,494,0,0,1,1,1,2,East
5,1,East,4,2,-1,-1,1,4,693,1,0,1,0,1,3,North
5,2,North,4,1,-1,-1,-1,3,892,1,1,0,0,1,2,North
5,3,North,4,1,-1,-1,-1,2,891,0,1,1,1,1,3,East
6,3,East,4,1,-1,-1,-1,1,890,0,0,1,1,1,4,East
6,3,East,4,1,-1,-1,-1,1,890,0,0,1,1,1,4,East
3,3,West,4,4,3,-1,-1,12,-1,0,0,1,1,2,3,West
2,3,West,4,4,2,-1,-1,13,-2,0,0,1,1,2,2,West
1,3,West,4,4,1,-1,-1,14,-3,0,1,0,1,2,2,South
1,2,South,4,3,-1,-1,-1,13,196,1,1,0,0,2,1,South
1,1,South,4,3,-1,-1,-1,14,695,1,0,0,1,1,1,East
2,1,East,4,3,-1,-1,-1,13,794,0,0,1,1,0,-1,East
3,1,East,4,2,-1,-1,-1,12,1193,0,0,1,1,0,-1,East
4,1,East,4,1,-1,-1,-1,11,1392,0,0,1,1,0,-1,East
5,1,East,4,1,-1,-1,-1,10,1791,0,0,1,1,0,-1,East
6,1,East,4,1,-1,-1,-1,9,1790,0,0,1,1,0,-1,East
7,1,East,4,1,-1,-1,-1,8,1789,0,0,1,1,0,-1,East
8,1,East,4,1,-1,-1,-1,7,1788,0,0,1,1,0,-1,East
9,1,East,4,1,-1,-1,-1,6,1787,1,0,1,1,0,-1,North
9,2,North,4,1,-1,-1,-1,5,1786,1,1,0,0,0,-1,North
9,3,North,4,1,-1,-1,-1,6,1785,0,1,1,1,0,-1,East
10,3,East,4,1,-1,-1,-1,5,1784,0,0,1,1,0,-1,East
11,3,East,4,1,-1,-1,-1,4,1783,0,0,1,1,0,-1,East
12,3,East,4,1,-1,-1,-1,3,1782,0,0,1,1,0,-1,East
13,3,East,4,1,-1,-1,-1,2,1781,0,0,1,1,0,-1,East
14,3,East,4,1,-1,-1,-1,1,1780,0,1,1,0,0,-1,South
14,3,East,4,1,-1,-1,-1,1,1780,0,1,1,0,0,-1,South
15,3,East,4,4,16,14,12,14,-1,1,0,1,1,0,-1,North
15,4,North,4,4,14,13,11,12,-2,1,1,0,0,0,-1,North
15,5,North,4,4,14,12,10,10,-3,0,1,0,1,0,-1,East
16,5,East,4,4,14,13,11,10,-4,0,0,1,1,0,-1,East
17,5,East,4,4,16,13,12,11,-5,0,0,1,1,0,-1,East
18,5,East,4,4,18,14,12,11,-6,1,0,1,0,0,-1,North
18,6,North,4,4,16,14,12,11,-7,1,1,0,0,0,-1,North
18,7,North,4,4,14,13,12,11,-8,1,1,0,0,0,-1,North
18,8,North,4,4,13,13,11,10,-9,0,1,1,1,0,-1,West
17,8,West,4,4,11,12,10,9,-10,0,0,1,1,0,-1,West
