@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute 'Pacman y' numeric
@attribute ' prev_direction' {Stop,East,South,West,North}
@attribute ' score' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
3,South,661,East
3,East,660,East
3,East,659,East
3,East,658,East
3,East,657,Stop
3,East,656,North
4,North,655,North
5,North,654,Stop
5,North,653,West
5,West,652,West
5,West,651,West
5,West,650,West
5,West,649,West
5,West,648,South
4,South,647,South
3,South,646,Stop
3,South,645,East
3,East,644,East
3,East,643,East
3,East,642,East
3,East,641,East
3,East,640,Stop
3,East,639,North
4,North,638,North
5,North,637,Stop
5,North,636,West
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,Stop
11,Stop,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,191,East
11,East,190,East
11,East,189,East
11,East,188,East
11,East,187,South
10,South,186,South
9,South,185,South
8,South,184,West
8,West,183,West
8,West,182,West
8,West,181,West
8,West,180,West
8,West,179,West
8,West,178,West
8,West,177,North
9,North,376,Stop
9,North,375,Stop
9,North,374,Stop
9,North,373,East
9,East,372,East
9,East,371,East
9,East,370,East
9,East,369,East
9,East,368,East
9,East,367,South
8,South,366,South
7,South,365,South
6,South,364,South
5,South,363,West
5,West,362,West
5,West,361,West
5,West,360,West
5,West,559,West
5,West,558,West
5,West,557,East
5,East,556,East
5,East,555,East
5,East,554,East
5,East,553,East
5,East,552,East
5,East,551,East
5,East,550,East
5,East,549,East
5,East,548,East
5,East,547,South
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,193,East
11,East,192,East
11,East,191,East
11,East,190,East
11,East,189,East
11,East,188,South
10,South,187,South
9,South,186,South
8,South,185,West
8,West,184,West
8,West,183,West
8,West,182,West
8,West,181,West
8,West,180,West
8,West,379,West
8,West,378,West
8,West,377,West
8,West,376,South
7,South,375,South
6,South,374,South
5,South,373,South
4,South,372,South
3,South,371,Stop
3,South,370,East
3,East,369,East
3,East,368,East
3,East,367,East
3,East,366,East
3,East,365,East
3,East,364,East
3,East,363,North
4,North,362,North
5,North,361,North
6,North,560,North
7,North,559,North
8,North,558,North
9,North,557,East
9,East,556,East
9,East,555,East
9,East,554,East
9,East,553,East
9,East,552,South
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,191,East
11,East,190,East
11,East,189,East
11,East,188,South
10,South,187,South
9,South,186,South
8,South,185,South
7,South,184,South
6,South,283,South
5,South,282,South
4,South,281,South
3,South,280,West
3,West,279,West
3,West,278,West
3,West,277,West
3,West,276,West
3,West,275,West
3,West,274,West
3,West,273,West
3,West,472,West
3,West,471,North
4,North,470,North
5,North,469,East
5,East,468,East
5,East,467,East
5,East,466,East
5,East,465,East
5,East,464,East
5,East,463,East
5,East,462,East
5,East,461,East
5,East,460,East
5,East,459,East
5,East,458,East
5,East,457,East
5,East,456,South
4,South,455,South
3,South,454,Stop
