@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R4,6-9,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-9-weka.filters.unsupervised.attribute.AddExpression-Ea6+a7-Nnorth-south-weka.filters.unsupervised.attribute.AddExpression-Ea8+a9-Neast-west-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,12,13,11-weka.filters.unsupervised.attribute.NumericToNominal-R6-9-weka.filters.unsupervised.attribute.NumericToNominal-R11-12'

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute LivingGhost numeric
@attribute PrevScore numeric
@attribute North=1 {0,1}
@attribute South=1 {0,1}
@attribute West=1 {0,1}
@attribute East=1 {0,1}
@attribute FoodNum numeric
@attribute north-south {0,1,2}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
15,1,West,1,2654,1,0,0,1,47,1,1,North
15,2,North,1,2753,1,1,0,0,46,2,0,North
15,3,North,1,2852,0,1,0,1,45,1,1,East
16,3,East,1,2950,1,0,1,0,44,1,1,North
16,4,North,1,3049,1,1,0,0,43,2,0,North
16,5,North,1,3048,0,1,1,1,43,1,2,West
15,5,West,1,3047,1,0,1,1,43,1,2,West
14,5,West,1,3046,0,0,1,1,43,0,2,West
13,5,West,1,3045,1,1,0,1,43,2,1,North
13,6,North,1,3044,1,1,0,0,43,2,0,North
13,7,North,1,3042,0,1,1,0,43,1,1,West
12,7,West,1,3041,0,0,1,1,43,0,2,West
11,7,West,1,3040,0,0,1,1,43,0,2,West
10,7,West,1,3039,0,1,1,1,43,1,2,West
9,7,West,1,3038,0,1,1,1,43,1,2,West
8,7,West,1,3137,0,0,1,1,42,0,2,West
7,7,West,1,3236,0,0,1,1,41,0,2,West
6,7,West,1,3335,0,1,0,1,40,1,1,South
6,6,South,1,3434,1,1,0,0,39,2,0,South
6,5,South,1,3733,1,1,1,1,38,2,2,West
5,5,West,1,3832,0,0,1,1,37,0,2,West
4,5,West,1,3931,1,0,1,1,36,1,2,West
3,5,West,1,4030,0,1,1,1,35,1,2,West
2,5,West,1,4129,0,0,1,1,34,0,2,West
1,5,West,1,4428,1,1,0,1,33,2,1,South
1,4,South,1,4527,1,1,0,0,32,2,0,South
1,3,South,1,4626,1,1,0,0,31,2,0,South
1,3,South,1,4626,1,1,0,0,31,2,0,South
2,6,East,4,-6,0,0,1,1,0,0,2,East
3,6,East,4,-7,0,0,1,1,0,0,2,East
4,6,East,4,-8,0,0,1,1,0,0,2,East
5,6,East,4,-9,0,0,1,1,0,0,2,East
6,6,East,4,-10,0,0,1,1,0,0,2,East
7,6,East,4,-11,0,1,1,1,0,1,2,East
8,6,East,3,188,0,0,1,1,0,0,2,East
9,6,East,3,187,0,0,1,1,0,0,2,East
10,6,East,3,186,0,0,1,1,0,0,2,East
11,6,East,3,185,0,0,1,1,0,0,2,East
12,6,East,3,184,0,0,1,1,0,0,2,East
13,6,East,3,183,0,0,1,1,0,0,2,East
14,6,East,3,182,0,1,1,1,0,1,2,East
15,6,East,3,181,0,0,1,1,0,0,2,East
16,6,East,2,380,0,1,1,1,0,1,2,South
16,5,South,2,379,1,1,0,0,0,2,0,South
16,4,South,2,378,1,1,1,1,0,2,2,South
16,3,South,2,377,1,0,1,1,0,1,2,West
15,3,West,2,376,1,0,1,1,0,1,2,West
14,3,West,2,375,1,0,1,1,0,1,2,West
13,3,West,2,374,1,0,1,1,0,1,2,West
12,3,West,2,373,1,0,1,1,0,1,2,West
11,3,West,1,572,1,0,1,1,0,1,2,North
11,4,North,1,570,0,1,1,1,0,1,2,West
10,4,West,1,569,0,1,1,1,0,1,2,West
9,4,West,1,568,0,1,1,1,0,1,2,West
8,4,West,1,567,0,1,1,1,0,1,2,West
